DeviceType,CommandType,Command,PayloadType,Description,Icon,ButtonDeviceClass,DisplayName,DisplayNameJa
Bot,Command,turnOff,Default,"set to OFF state",mdi:toggle-switch-off,,,
Bot,Command,turnOn,Default,"set to ON state",mdi:toggle-switch,,,
Bot,Command,press,Default,"trigger press",mdi:gesture-tap-button,,,
Curtain,Command,setPosition,JoinComma,"mode: 0 (Performance Mode), 1 (Silent Mode), ff (default mode) position: 0~100 (0 means open, 100 means closed)",mdi:play-circle,,,
Curtain,Command,turnOff,Default,"equivalent to set position to 100",mdi:curtains-closed,,,
Curtain,Command,turnOn,Default,"equivalent to set position to 0",mdi:curtains,,,
Curtain,Command,pause,Default,"set to PAUSE state",mdi:pause,,,
Lock,Command,lock,Default,"rotate to locked position",mdi:lock,,,
Lock,Command,unlock,Default,"rotate to unlocked position",mdi:lock-open-variant,,,
Keypad,Command,createKey,Json,"create a new passcode",mdi:key-plus,,,
Keypad,Command,deleteKey,Json,"delete an existing passcode",mdi:key-remove,,,
KeypadTouch,Command,createKey,Json,"create a new passcode",mdi:key-plus,,,
KeypadTouch,Command,deleteKey,Json,"delete an existing passcode",mdi:key-remove,,,
CeilingLight,Command,turnOn,Default,"set to ON state",mdi:lightbulb-on,,,
CeilingLight,Command,turnOff,Default,"set to OFF state",mdi:lightbulb-off,,,
CeilingLight,Command,toggle,Default,"toggle state",mdi:power,,,
CeilingLight,Command,setBrightness,SingleValue,"set brightness",mdi:brightness-percent,,,
CeilingLight,Command,setColorTemperature,SingleValue,"set the color temperature",mdi:palette,,,
CeilingLightPro,Command,turnOn,Default,"set to ON state",mdi:lightbulb-on,,,
CeilingLightPro,Command,turnOff,Default,"set to OFF state",mdi:lightbulb-off,,,
CeilingLightPro,Command,toggle,Default,"toggle state",mdi:power,,,
CeilingLightPro,Command,setBrightness,SingleValue,"set brightness",mdi:brightness-percent,,,
CeilingLightPro,Command,setColorTemperature,SingleValue,"set the color temperature",mdi:palette,,,
PlugMiniUs,Command,turnOn,Default,"set to ON state",mdi:power-plug,,,
PlugMiniUs,Command,turnOff,Default,"set to OFF state",mdi:power-plug-off,,,
PlugMiniUs,Command,toggle,Default,"toggle state",mdi:power,,,
PlugMiniJp,Command,turnOn,Default,"set to ON state",mdi:power-plug,,,
PlugMiniJp,Command,turnOff,Default,"set to OFF state",mdi:power-plug-off,,,
PlugMiniJp,Command,toggle,Default,"toggle state",mdi:power,,,
Plug,Command,turnOn,Default,"set to ON state",mdi:power-plug,,,
Plug,Command,turnOff,Default,"set to OFF state",mdi:power-plug-off,,,
StripLight,Command,turnOn,Default,"set to ON state",mdi:lightbulb-on,,,
StripLight,Command,turnOff,Default,"set to OFF state",mdi:lightbulb-off,,,
StripLight,Command,toggle,Default,"toggle state",mdi:power,,,
StripLight,Command,setBrightness,SingleValue,"set brightness",mdi:brightness-percent,,,
StripLight,Command,setColor,JoinColon,"set RGB color value",mdi:palette,,,
ColorBulb,Command,turnOn,Default,"set to ON state",mdi:lightbulb-on,,,
ColorBulb,Command,turnOff,Default,"set to OFF state",mdi:lightbulb-off,,,
ColorBulb,Command,toggle,Default,"toggle state",mdi:power,,,
ColorBulb,Command,setBrightness,SingleValue,"set brightness",mdi:brightness-percent,,,
ColorBulb,Command,setColor,JoinColon,"set RGB color value",mdi:palette,,,
ColorBulb,Command,setColorTemperature,SingleValue,"set color temperature",mdi:palette,,,
RobotVacuumCleanerS1,Command,start,Default,"start vacuuming",mdi:play-circle,,,
RobotVacuumCleanerS1,Command,stop,Default,"stop vacuuming",mdi:stop-circle,,,
RobotVacuumCleanerS1,Command,dock,Default,"return to charging dock",mdi:home-lightning-bolt,,,
RobotVacuumCleanerS1,Command,PowLevel,SingleValue,"set suction power level: 0 (Quiet), 1 (Standard), 2 (Strong), 3 (MAX)",mdi:numeric,,,
RobotVacuumCleanerS1Plus,Command,start,Default,"start vacuuming",mdi:play-circle,,,
RobotVacuumCleanerS1Plus,Command,stop,Default,"stop vacuuming",mdi:stop-circle,,,
RobotVacuumCleanerS1Plus,Command,dock,Default,"return to charging dock",mdi:home-lightning-bolt,,,
RobotVacuumCleanerS1Plus,Command,PowLevel,SingleValue,"set suction power level: 0 (Quiet), 1 (Standard), 2 (Strong), 3 (MAX)",mdi:numeric,,,
Humidifier,Command,turnOff,Default,"set to OFF state",mdi:air-humidifier-off,,,
Humidifier,Command,turnOn,Default,"set to ON state",mdi:air-humidifier,,,
Humidifier,Command,setMode,SingleValue,"auto, set to Auto Mode, 101, set atomization efficiency to 34%, 102, set atomization efficiency to 67%, 103, set atomization efficiency to 100%",mdi:cog,,,
BlindTilt,Command,setPosition,JoinSemiColon,"direction: up/down position: 0~100 (0 means closed, 100 means open, it MUST be set to a multiple of 2. e.g. up;48 or up; 36)",mdi:play-circle,,,
BlindTilt,Command,fullyOpen,Default,"Set the position of Blind Tilt to open, equivalent to setting the position to up;100 or down;100",mdi:blinds-open,,,
BlindTilt,Command,closeUp,Default,"Set the position of Blind Tilt to closed up, equivalent to setting the position to up;0",mdi:pan-up,,,
BlindTilt,Command,closeDown,Default,"Set the position of Blind Tilt to closed down, equivalent to setting the position to down;0",mdi:pan-down,,,
AirConditioner,Command,turnOn,Default,"every home appliance can be turned on by default",mdi:toggle-switch,,,
AirConditioner,Command,turnOff,Default,"every home appliance can be turned off by default",mdi:toggle-switch-off,,,
AirConditioner,Command,setAll,JoinComma,"the unit of temperature is in celsius; modes include 1 (auto), 2 (cool), 3 (dry), 4 (fan), 5 (heat); fan speed includes 1 (auto), 2 (low), 3 (medium), 4 (high); power state includes on and off",mdi:air-conditioner,,,
TV,Command,turnOn,Default,"every home appliance can be turned on by default",mdi:television,,,
TV,Command,turnOff,Default,"every home appliance can be turned off by default",mdi:television-off,,,
TV,Command,SetChannel,SingleValue,"set the TV channel to switch to",mdi:numeric,,,
TV,Command,volumeAdd,Default,"volume up",mdi:volume-plus,,,
TV,Command,volumeSub,Default,"volume down",mdi:volume-minus,,,
TV,Command,channelAdd,Default,"next channel",mdi:chevron-right,,,
TV,Command,channelSub,Default,"previous channel",mdi:chevron-left,,,
IPTV,Command,turnOn,Default,"every home appliance can be turned on by default",mdi:television,,,
IPTV,Command,turnOff,Default,"every home appliance can be turned off by default",mdi:television-off,,,
IPTV,Command,SetChannel,SingleValue,"set the TV channel to switch to",mdi:numeric,,,
IPTV,Command,volumeAdd,Default,"volume up",mdi:volume-plus,,,
IPTV,Command,volumeSub,Default,"volume down",mdi:volume-minus,,,
IPTV,Command,channelAdd,Default,"next channel",mdi:chevron-right,,,
IPTV,Command,channelSub,Default,"previous channel",mdi:chevron-left,,,
SetTopBox,Command,turnOn,Default,"every home appliance can be turned on by default",mdi:television,,,
