DeviceType,FieldName,FieldSourceType,StatusKey,WebhookKey,FieldDataType,Description,IsBinary,BinarySensorDeviceClass,OnValue,OffValue,Icon,SensorDeviceClass,EntityCategory,StateClass,UnitOfMeasurement,DisplayName,DisplayNameJa
Bot,power,Both,power,power,String,"ON/OFF state,the current state of the device. This state is only valid for Switch Mode, where `on` stands for on and `off` stands for off. It will return `on` or `off` in Press Mode or Customize Mode, but the returned value can be neglected.",true,Power,on,off,,,,,,,
Bot,battery,Status,battery,,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
Bot,version,Status,version,,String,"the current firmware version, e.g. V6.3",false,,,,mdi:information,,diagnostic,,,,
Bot,deviceMode,Status,deviceMode,,String,"pressMode, switchMode, or customizeMode",false,,,,mdi:cog,,,,,,
Bot,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Bot,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
Bot,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
Bot,timeOfSample,Webhook,,timeOfSample,String,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Curtain,calibrate,Both,calibrate,calibrate,Boolean,"determines if the open position and the close position of a device have been properly calibrated or not",false,,,,mdi:check-circle,,,,,,
Curtain,group,Both,group,group,Boolean,"determines if a Curtain is paired with or grouped with another Curtain or not",false,,,,mdi:group,,,,,,
Curtain,moving,Status,moving,,Boolean,"determines if a Curtain is moving or not",true,Moving,true,false,,,,,,,
Curtain,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
Curtain,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
Curtain,slidePosition,Both,slidePosition,slidePosition,String,"the percentage of the distance between the calibrated open position and closed position that Curtain has traversed",false,,,,mdi:curtains,,,measurement,%,,
Curtain,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Curtain,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
